旭东	2	21	119077	1226730	71.8425466136
百子	1	12	119078	1226739	2336.79197835
镇禾	4	4	657980	687842	1325.19611657
镇积	3	3	657981	687843	993.895610422
搂	3	3	657981	687843	993.895610422
乡北苏	1	1	657983	687845	331.297552139
多发	1	1	657983	687845	331.297552139
日克镇	2	2	657982	687844	662.596088945
大文	1	9	119078	1226742	1786.0784949
翟滩	1	1	657983	687845	331.297552139
镇金艳	1	1	657983	687845	331.297552139
宁益	1	1	657983	687845	331.297552139
大旺	11	38	297680	1048101	715.868172095
联邦	1	9	119078	1226742	1786.0784949
补文	1	1	657983	687845	331.297552139
外纳	1	1	657983	687845	331.297552139
刁家	1	5	212551	1133273	615.82945021
日用电器	1	1	657983	687845	331.297552139
麦	36	38	657948	687808	582.915156139
麦	3	71	58521	1287235	863.743158332
南泥湾	1	10	119078	1226741	87.3542782229
药树乡	1	1	657983	687845	331.297552139
镇洋梓	1	1	657983	687845	331.297552139
莘郊	1	1	657983	687845	331.297552139
镜屏	1	1	657983	687845	331.297552139
歧镇	1	12	119078	1226739	2336.79197835
鸿林	1	6	212551	1133272	2141.40419824
余新镇	1	6	212551	1133272	2141.40419824
大樟	5	17	297686	1048122	1093.67494215
柳河县	51	533	119028	1226218	1042.06878579
周毛	1	1	657983	687845	331.297552139
乡北贯	1	1	657983	687845	331.297552139
大段	2	22	119077	1226729	855.571794152
仙阳区	1	1	657983	687845	331.297552139
大殿	1	1	657983	687845	331.297552139
镇樟岗	1	1	657983	687845	331.297552139
念里	1	1	657983	687845	331.297552139
双江	22	494	58502	1286812	501.664294574
百和	1	10	119078	1226741	87.3542782229
大次	1	1	657983	687845	331.297552139
通北村	1	1	657983	687845	331.297552139
关锁	1	1	657983	687845	331.297552139
汇川	1	10	119078	1226741	87.3542782229
大步	1	6	212551	1133272	2141.40419824
鸿星	1	1	657983	687845	331.297552139
镇生	1	10	119078	1226741	87.3542782229
塔水村	1	1	657983	687845	331.297552139
梅园新村	2	2	657982	687844	662.596088945
镇甸	1	1	657983	687845	331.297552139
乡新文	1	1	657983	687845	331.297552139
拖村	1	1	657983	687845	331.297552139
外环	1	1	657983	687845	331.297552139
镇番	1	1	657983	687845	331.297552139
乡石仑	1	1	657983	687845	331.297552139
周格	1	1	657983	687845	331.297552139
镇理	1	1	657983	687845	331.297552139
镇琴	1	1	657983	687845	331.297552139
镇堡	1	11	119078	1226740	427.782082718
镇井岗村	1	1	657983	687845	331.297552139
贯	6	6	657978	687840	1987.80008292
贯	2	10	212550	1133268	1231.66439147
咱乡	1	6	212551	1133272	2141.40419824
唐圩村	1	1	657983	687845	331.297552139
宁家	1	1	657983	687845	331.297552139
关面	3	3	657981	687843	993.895610422
关面	1	5	212551	1133273	615.82945021
大溪	11	108	119068	1226643	2507.88950934
后任	1	1	657983	687845	331.297552139
大满	7	24	297684	1048115	887.193966031
镇二冲	1	1	657983	687845	331.297552139
朋口	1	9	119078	1226742	1786.0784949
鲤鱼	20	21	657964	687825	66.8722510753
大渡	1	19	58523	1287287	1142.34633789
镇珠	5	5	657979	687841	1656.49760741
镇珠	1	9	119078	1226742	1786.0784949
后旗	5	121	58519	1287185	2452.61650429
镇爱	1	1	657983	687845	331.297552139
关里	1	9	119078	1226742	1786.0784949
正安镇	1	9	119078	1226742	1786.0784949
冼村	1	1	657983	687845	331.297552139
市西葛	2	2	657982	687844	662.596088945
镇金裆	1	1	657983	687845	331.297552139
音像店	2	7	297689	1048132	12.7785262676
看庄镇	1	20	58523	1287286	482.921222424
镇泉村	1	1	657983	687845	331.297552139
樟斗镇	3	3	657981	687843	993.895610422
后佳	2	2	657982	687844	662.596088945
姑嫂	5	5	657979	687841	1656.49760741
镇狠	1	1	657983	687845	331.297552139
棕坪	3	3	657981	687843	993.895610422
大沥	2	23	119077	1226728	2419.50800376
朋兴	3	3	657981	687843	993.895610422
宁干	1	1	657983	687845	331.297552139
大沃	1	1	657983	687845	331.297552139
大沁	5	18	297686	1048121	447.877840259
胥村	2	2	657982	687844	662.596088945
乡北许	1	1	657983	687845	331.297552139
贤泽	1	1	657983	687845	331.297552139
镇熊	2	2	657982	687844	662.596088945
凯源	1	9	119078	1226742	1786.0784949
贤河	1	1	657983	687845	331.297552139
大汉	6	21	297685	1048118	38.3360915379
清浦区	3	71	58521	1287235	863.743158332
刁口	5	5	657979	687841	1656.49760741
周氏	2	10	212550	1133268	1231.66439147
镇灰	1	1	657983	687845	331.297552139
朋候	1	1	657983	687845	331.297552139
镇火	1	1	657983	687845	331.297552139
大洲	14	74	212538	1133204	158.589917614
周兴乡	1	1	657983	687845	331.297552139
汇宏	1	1	657983	687845	331.297552139
智能卡	1	1	657983	687845	331.297552139
马奇村	1	1	657983	687845	331.297552139
周沟	3	3	657981	687843	993.895610422
周沟	1	5	212551	1133273	615.82945021
大洞	4	44	119075	1226707	1711.17410398
周泾	1	1	657983	687845	331.297552139
片马乡	1	1	657983	687845	331.297552139
吊街	3	3	657981	687843	993.895610422
进洞	2	2	657982	687844	662.596088945
大浪	7	24	297684	1048115	887.193966031
镇烈	1	1	657983	687845	331.297552139
季	1	22	58523	1287284	0.001592191606
亨	1	23	58523	1287283	106.847139558
　	29	291	119050	1226460	1982.02717766
猴岛	1	1	657983	687845	331.297552139
凌虹	1	1	657983	687845	331.297552139
鸿翔	1	20	58523	1287286	482.921222424
潭水	2	49	58522	1287257	1251.35641019
镇漫	1	1	657983	687845	331.297552139
高家村	3	30	119076	1226721	262.06711866
蝶屏	2	2	657982	687844	662.596088945
聊城市	217	228	657767	687618	959.109566774
款庄	1	10	119078	1226741	87.3542782229
唐秦	1	1	657983	687845	331.297552139
镇清	3	3	657981	687843	993.895610422
大环	1	1	657983	687845	331.297552139
垯	2	2	657982	687844	662.596088945
镇渡	2	20	119077	1226731	174.709984431
镇港	9	31	297682	1048108	779.381049421
大王	13	279	58511	1287027	421.157593702
镇温	1	9	119078	1226742	1786.0784949
宗乡	1	1	657983	687845	331.297552139
课功	1	1	657983	687845	331.297552139
关路	4	4	657980	687842	1325.19611657
岗美	1	12	119078	1226739	2336.79197835
木吉乡	3	31	119076	1226720	2.73947681608
部一	1	1	657983	687845	331.297552139
镇溪	3	10	297688	1048129	1603.74959248
冰棍	1	12	119078	1226739	2336.79197835
后午	1	1	657983	687845	331.297552139
镇滤	1	1	657983	687845	331.297552139
大炼	1	1	657983	687845	331.297552139
郜鼎乡	2	2	657982	687844	662.596088945
古剑乡	2	2	657982	687844	662.596088945
镇海	18	185	119061	1226566	9.86198167308
临渭区	35	369	119044	1226382	1854.00247472
乡范家	3	11	297688	1048128	899.500688271
白碱滩区	2	45	58522	1287261	54.9743243516
密	2	23	119077	1226728	2419.50800376
刁东	2	2	657982	687844	662.596088945
吊钟	1	1	657983	687845	331.297552139
鸣凰镇	3	3	657981	687843	993.895610422
鸣凰镇	1	5	212551	1133273	615.82945021
乡北集	2	2	657982	687844	662.596088945
百代	1	10	119078	1226741	87.3542782229
豢龙乡	1	9	119078	1226742	1786.0784949
市侨场	1	1	657983	687845	331.297552139
查村	1	1	657983	687845	331.297552139
镇汕	1	1	657983	687845	331.297552139
百亩	1	25	58523	1287281	883.187540282
百事	4	14	297687	1048125	25.5572234458
郭干乡	1	9	119078	1226742	1786.0784949
镇沙	9	32	297682	1048107	156.28089202
双湾村	2	2	657982	687844	662.596088945
百义	1	1	657983	687845	331.297552139
兆嘉乡	1	1	657983	687845	331.297552139
后兴	1	1	657983	687845	331.297552139
镇泉	2	23	119077	1226728	2419.50800376
镇河排	1	1	657983	687845	331.297552139
乡北阳	1	1	657983	687845	331.297552139
镇泥	2	7	297689	1048132	12.7785262676
贝子府	1	9	119078	1226742	1786.0784949
黎曙	1	1	657983	687845	331.297552139
友宰镇	1	9	119078	1226742	1786.0784949
乡犁湾河	1	1	657983	687845	331.297552139
后园	3	3	657981	687843	993.895610422
后园	1	5	212551	1133273	615.82945021
凯瑞	2	7	297689	1048132	12.7785262676
大目	2	2	657982	687844	662.596088945
大盖	1	1	657983	687845	331.297552139
镇垫	1	1	657983	687845	331.297552139
材料	43	453	119036	1226298	2131.08420689
大盛	2	7	297689	1048132	12.7785262676
镇歧	1	1	657983	687845	331.297552139
外海	2	47	58522	1287259	469.822511468
乡北鄙	1	1	657983	687845	331.297552139
季广	1	1	657983	687845	331.297552139
黎明	21	211	119058	1226540	1296.13489884
黎明	10	222	58514	1287084	45.5663829198
上海市	5014	5241	652970	682605	9.76440928168
